"year","league","division","team","pctGamesWon","avgRunsScored","avgHits","avgTotalBases","avgHomeRuns","avgWalks","avgRunsAllowed","ERA","avgHitsAllowed","avgHomeRunsAllowed","avgWalksAllowed","avgErrors","fieldingPct","leagueWin","worldSeriesWin"
1982,"NL","East","Washington Nationals",53.09,4.3,8.98,13.57,0.82,3.1,3.8,3.31,8.46,0.68,2.77,0.75,0.98,"N","N"
1982,"AL","East","New York Yankees",48.77,4.38,8.75,13.57,0.99,3.64,4.42,3.99,9.08,0.7,3.03,0.79,0.98,"N","N"
1982,"NL","East","New York Mets",40.12,3.76,8.4,11.92,0.6,2.81,4.46,3.88,9.31,0.73,3.59,1.08,0.97,"N","N"
1982,"AL","West","Oakland Athletics",41.98,4.27,7.94,12.33,0.92,3.59,5.06,4.54,9.3,1.09,4,0.99,0.97,"N","N"
1982,"NL","East","Philadelphia Phillies",54.94,4.1,8.75,12.64,0.69,3.12,4.04,3.61,8.61,0.53,2.91,0.75,0.98,"N","N"
1982,"NL","Central","Pittsburgh Pirates",51.85,4.47,9.48,14.13,0.83,2.76,4.3,3.81,8.85,0.73,3.22,0.9,0.98,"N","N"
1982,"NL","West","San Diego Padres",50,4.17,8.86,12.34,0.5,2.65,4.06,3.52,8.32,0.86,3.1,0.94,0.98,"N","N"
1982,"AL","West","Seattle Mariners",46.91,4.02,8.83,13.25,0.8,2.81,4.4,3.88,8.83,1.07,3.38,0.86,0.98,"N","N"
1982,"NL","West","San Francisco Giants",53.7,4.15,8.6,12.75,0.82,3.75,4.24,3.64,9.3,0.67,2.88,1.07,0.97,"N","N"
1982,"NL","Central","St. Louis Cardinals",56.79,4.23,8.88,12.24,0.41,3.51,3.76,3.37,8.77,0.58,3.1,0.77,0.98,"Y","Y"
1982,"AL","West","Texas Rangers",39.51,3.64,8.36,12.07,0.71,2.76,4.62,4.28,9.59,0.79,2.98,0.75,0.98,"N","N"
1982,"AL","East","Toronto Blue Jays",48.15,4.02,8.93,13.07,0.65,2.56,4.33,3.95,8.81,0.91,3.04,0.84,0.98,"N","N"
