"year","league","franchID","division","leagueWin","worldSeriesWin","ERA","fieldingPct","team","pctGamesWon","avgRunsScored","avgHits","avgTotalBases","avgHomeRuns","avgWalks","avgRunsAllowed","avgHitsAllowed","avgHomeRunsAllowed","avgWalksAllowed","avgErrors"
1981,"NL","ATL","East","N","N",3.45,0.976,"Atlanta Braves",47.1698113207547,3.69158878504673,8.2803738317757,11.8691588785047,0.598130841121495,3,3.88785046728972,8.74766355140187,0.579439252336449,3.08411214953271,0.953271028037383
1981,"AL","BAL","East","N","N",3.7,0.983,"Baltimore Orioles",56.1904761904762,4.08571428571429,8.40952380952381,12.7047619047619,0.838095238095238,3.84761904761905,4.16190476190476,8.79047619047619,0.79047619047619,3.3047619047619,0.647619047619048
1981,"AL","BOS","East","N","N",3.81,0.979,"Boston Red Sox",54.6296296296296,4.80555555555556,9.74074074074074,14.1111111111111,0.833333333333333,3.5,4.4537037037037,9.10185185185185,0.833333333333333,3.27777777777778,0.842592592592593
1981,"AL","ANA","West","N","N",3.7,0.977,"Los Angeles Angels",46.3636363636364,4.32727272727273,8.58181818181818,12.7363636363636,0.881818181818182,3.57272727272727,4.11818181818182,8.70909090909091,0.736363636363636,2.93636363636364,0.918181818181818
1981,"AL","CHW","Central","N","N",3.47,0.979,"Chicago White Sox",50.9433962264151,4.49056603773585,9.26415094339623,13.1981132075472,0.716981132075472,3.0377358490566,3.99056603773585,8.40566037735849,0.688679245283019,3.16981132075472,0.820754716981132
1981,"NL","CHC","Central","N","N",4.01,0.974,"Chicago Cubs",36.8932038834951,3.49056603773585,7.90566037735849,11.3679245283019,0.537735849056604,3.22641509433962,4.55660377358491,9.27358490566038,0.556603773584906,3.66037735849057,1.06603773584906
1981,"NL","CIN","Central","N","N",3.73,0.981,"Cincinnati Reds",61.1111111111111,4.2962962962963,9,12.9814814814815,0.592592592592593,3.47222222222222,4.07407407407407,7.99074074074074,0.62037037037037,3.63888888888889,0.740740740740741
1981,"AL","CLE","Central","N","N",3.88,0.978,"Cleveland Guardians",50.4854368932039,4.18446601941748,8.95145631067961,11.9514563106796,0.378640776699029,3.33009708737864,4.29126213592233,9.60194174757282,0.650485436893204,3.01941747572816,0.844660194174757
1981,"AL","DET","Central","N","N",3.53,0.984,"Detroit Tigers",55.045871559633,3.91743119266055,8.45871559633028,12.1376146788991,0.596330275229358,3.70642201834862,3.70642201834862,7.70642201834862,0.761467889908257,3.42201834862385,0.614678899082569
1981,"AL","HOU","West","N","N",2.66,0.98,"Houston Astros",55.4545454545455,3.58181818181818,8.61818181818182,11.9363636363636,0.409090909090909,3.09090909090909,3.00909090909091,7.65454545454545,0.363636363636364,2.72727272727273,0.790909090909091
1981,"AL","KCR","Central","N","N",3.56,0.982,"Kansas City Royals",48.5436893203884,3.85436893203884,9.24271844660194,13.2233009708738,0.592233009708738,2.92233009708738,3.93203883495146,8.8252427184466,0.728155339805825,2.6504854368932,0.699029126213592
1981,"NL","LAD","West","Y","Y",3.01,0.98,"Los Angeles Dodgers",57.2727272727273,4.09090909090909,8.94545454545455,12.7545454545455,0.745454545454545,3.00909090909091,3.23636363636364,8.21818181818182,0.490909090909091,2.74545454545455,0.790909090909091
