year,league,franchID,division,W,L,leagueWin,worldSeriesWin,ERA,fieldingPct,team,pctGamesWon,propGamesWon,avgRunsScored,avgHits,avgTotalBases,avgHomeRuns,avgWalks,avgRunsAllowed,avgHitsAllowed,avgHomeRunsAllowed,avgWalksAllowed,avgErrors
1981,NL,ATL,East,50,56,N,N,3.45,0.976,Atlanta Braves,47.16981132075472,0.4716981132075472,3.691588785046729,8.280373831775702,11.869158878504672,0.5981308411214953,3,3.8878504672897196,8.74766355140187,0.5794392523364486,3.0841121495327104,0.9532710280373832
1981,AL,BAL,East,59,46,N,N,3.7,0.983,Baltimore Orioles,56.19047619047619,0.5619047619047619,4.085714285714285,8.40952380952381,12.704761904761904,0.8380952380952381,3.8476190476190477,4.161904761904762,8.790476190476191,0.7904761904761904,3.3047619047619046,0.6476190476190476
1981,AL,BOS,East,59,49,N,N,3.81,0.979,Boston Red Sox,54.629629629629626,0.5462962962962963,4.805555555555555,9.74074074074074,14.11111111111111,0.8333333333333334,3.5,4.453703703703703,9.101851851851851,0.8333333333333334,3.2777777777777777,0.8425925925925926
1981,AL,ANA,West,51,59,N,N,3.7,0.977,Los Angeles Angels,46.36363636363636,0.4636363636363636,4.327272727272727,8.581818181818182,12.736363636363636,0.8818181818181818,3.5727272727272728,4.118181818181818,8.709090909090909,0.7363636363636363,2.9363636363636365,0.9181818181818182
1981,AL,CHW,Central,54,52,N,N,3.47,0.979,Chicago White Sox,50.943396226415096,0.5094339622641509,4.490566037735849,9.264150943396226,13.19811320754717,0.71698113207547165,3.0377358490566038,3.990566037735849,8.40566037735849,0.6886792452830188,3.169811320754717,0.8207547169811321
1981,NL,CHC,Central,38,65,N,N,4.01,0.974,Chicago Cubs,36.89320388349515,0.36893203883495146,3.490566037735849,7.90566037735849,11.367924528301886,0.5377358490566038,3.2264150943396226,4.556603773584905,9.273584905660377,0.5566037735849056,3.660377358490566,1.0660377358490567
1981,NL,CIN,Central,66,42,N,N,3.73,0.981,Cincinnati Reds,61.111111111111114,0.6111111111111112,4.296296296296297,9,12.981481481481481,0.5925925925925926,3.4722222222222223,4.074074074074074,7.9907407407407405,0.6203703703703703,3.638888888888889,0.7407407407407407
1981,AL,CLE,Central,52,51,N,N,3.88,0.978,Cleveland Guardians,50.48543689320388,0.5048543689320388,4.184466019417476,8.951456310679612,11.951456310679612,0.3786407766990291,3.3300970873786406,4.29126213592233,9.601941747572816,0.6504854368932039,3.0194174757281553,0.8446601941747572
1981,AL,DET,Central,60,49,N,N,3.53,0.984,Detroit Tigers,55.04587155963303,0.5504587155963303,3.9174311926605503,8.458715596330276,12.137614678899082,0.5963302752293578,3.706422018348624,3.706422018348624,7.706422018348624,0.7614678899082569,3.4220183486238533,0.6146788990825688
1981,AL,HOU,West,61,49,N,N,2.66,0.98,Houston Astros,55.45454545454545,0.5545454545454546,3.581818181818182,8.618181818181819,11.936363636363636,0.4090909090909091,3.090909090909091,3.0090909090909093,7.654545454545454,0.36363636363636365,2.727272727272727,0.7909090909090909
1981,AL,KCR,Central,50,53,N,N,3.56,0.982,Kansas City Royals,48.54368932038835,0.4854368932038835,3.854368932038835,9.242718446601941,13.223300970873787,0.5922330097087378,2.9223300970873787,3.9320388349514563,8.825242718446601,0.7281553398058253,2.650485436893204,0.6990291262135923
1981,NL,LAD,West,63,47,Y,Y,3.01,0.98,Los Angeles Dodgers,57.27272727272727,0.5727272727272728,4.090909090909091,8.945454545454545,12.754545454545454,0.7454545454545455,3.0090909090909093,3.2363636363636363,8.218181818181819,0.4909090909090909,2.7454545454545456,0.7909090909090909
1981,AL,MIN,Central,41,68,N,N,3.98,0.978,Minnesota Twins,37.61467889908257,0.3761467889908257,3.4363636363636365,8.036363636363637,11.309090909090909,0.42727272727272725,2.5,4.418181818181818,9.281818181818181,0.7181818181818181,3.418181818181818,0.8727272727272727
1981,NL,MIL,Central,62,47,N,N,3.91,0.982,Milwaukee Brewers,56.88073394495413,0.5688073394495413,4.522935779816514,8.81651376146789,13.412844036697248,0.8807339449541285,2.7522935779816513,4.2110091743119265,9.119266055045872,0.6605504587155964,3.229357798165138,0.7247706422018348
1981,NL,WSN,East,60,48,N,N,3.3,0.98,Washington Nationals,55.55555555555556,0.5555555555555556,4.101851851851852,8.175925925925926,12.296296296296296,0.75,3.4074074074074074,3.6481481481481484,8.351851851851851,0.5370370370370371,2.4814814814814814,0.75
1981,AL,NYY,East,59,48,Y,N,2.9,0.982,New York Yankees,55.140186915887845,0.5514018691588785,3.9345794392523366,8.30841121495327,12.906542056074766,0.9345794392523364,3.6542056074766354,3.205607476635514,7.728971962616822,0.5981308411214953,2.682242990654206,0.6728971962616822
1981,NL,NYM,East,41,62,N,N,3.55,0.968,New York Mets,39.80582524271845,0.39805825242718446,3.3142857142857145,8.266666666666667,11.857142857142858,0.5428571428571428,2.895238095238095,4.114285714285714,8.628571428571428,0.7047619047619048,3.2,1.2380952380952381
1981,AL,OAK,West,64,45,N,N,3.3,0.98,Oakland Athletics,58.71559633027523,0.5871559633027523,4.201834862385321,8.34862385321101,12.779816513761467,0.9541284403669725,3.1376146788990824,3.697247706422018,8.100917431192661,0.7339449541284404,3.3944954128440368,0.7431192660550459
1981,NL,PHI,East,59,48,N,N,4.05,0.98,Philadelphia Phillies,55.140186915887845,0.5514018691588785,4.588785046728972,9.36448598130841,13.30841121495327,0.6448598130841121,3.4766355140186915,4.411214953271028,9.037383177570094,0.6728971962616822,3.2429906542056073,0.8037383177570093
